Route_ID,Date,Region,Origin_Hub,Destination_City,Vehicle_Type,Vehicle_Capacity_Cases,Load_Cases,Utilization_Pct,Distance_KM,Avg_Speed_KMPH,Travel_Time_Hrs,No_of_Stops,Total_Time_Hrs,Fuel_Litres,Fuel_Cost_INR,Toll_Cost_INR,Driver_Cost_INR,Total_Route_Cost_INR,Cost_Per_Case_INR,Delivery_Delay_Min,On_Time_Delivery
RT-0017,2024-07-18,Central India,Bhopal Hub,Gwalior,20-ft Truck,500,276,55.2,217,53,4.09,4,5.62,34.36,3247.02,440.3,1079.83,4767.15,17.27,37,No
RT-0018,2024-09-02,West India,Mumbai Hub,Nagpur,Tempo,80,47,58.8,199,44,4.52,5,6.45,27.3,2579.85,407.09,971.45,3958.39,84.22,0,Yes
RT-0019,2024-12-01,Central India,Bhopal Hub,Ujjain,Tata Ace,120,114,95.0,355,38,9.34,3,10.89,39.49,3731.81,544.02,1406.87,5682.7,49.85,14,Yes
RT-0020,2024-07-22,North India,Delhi Hub,Amritsar,Mini Truck (14-ft),250,182,72.8,339,28,12.11,11,16.61,56.07,5298.61,335.82,3215.69,8850.12,48.63,2,Yes
RT-0021,2024-05-19,North India,Delhi Hub,Delhi,20-ft Truck,500,342,68.4,299,46,6.5,4,9.18,57.17,5402.57,563.63,1270.22,7236.42,21.16,22,Yes
RT-0022,2024-12-13,East India,Kolkata Hub,Siliguri,20-ft Truck,500,326,65.2,412,63,6.54,4,8.94,54.14,5116.23,799.81,1131.06,7047.1,21.62,38,No
RT-0023,2024-11-07,North India,Delhi Hub,Meerut,32-ft Truck,800,430,53.8,91,62,1.47,3,2.27,12.91,1220.0,121.12,336.67,1677.79,3.9,15,Yes
RT-0024,2024-09-23,Central India,Bhopal Hub,Indore,20-ft Truck,500,252,50.4,190,55,3.45,5,5.47,23.88,2256.66,190.99,937.73,3385.38,13.43,0,Yes
RT-0025,2024-03-26,North India,Delhi Hub,Lucknow,20-ft Truck,500,274,54.8,415,43,9.65,11,14.84,50.78,4798.71,839.91,1875.99,7514.61,27.43,32,No
RT-0026,2024-10-11,West India,Mumbai Hub,Ahmedabad,20-ft Truck,500,248,49.6,314,53,5.92,2,6.72,55.72,5265.54,666.03,1280.0,7211.57,29.08,0,Yes
RT-0027,2024-07-11,East India,Kolkata Hub,Patna,32-ft Truck,800,578,72.2,52,30,1.73,7,4.05,6.72,635.04,103.23,701.13,1439.4,2.49,34,No
RT-0028,2024-03-30,East India,Kolkata Hub,Ranchi,20-ft Truck,500,302,60.4,370,29,12.76,6,16.48,55.42,5237.19,666.69,2999.02,8902.9,29.48,0,Yes
RT-0029,2024-04-02,Central India,Bhopal Hub,Jabalpur,Tempo,80,49,61.3,138,44,3.14,4,5.83,25.67,2425.82,111.23,1139.7,3676.75,75.04,18,Yes
RT-0030,2024-08-16,East India,Kolkata Hub,Kolkata,Tempo,80,52,65.0,108,65,1.66,8,4.26,12.37,1168.96,91.78,646.1,1906.84,36.67,0,Yes
RT-0031,2024-02-21,North India,Delhi Hub,Lucknow,Mini Truck (14-ft),250,199,79.6,237,36,6.58,9,12.96,44.18,4175.01,356.15,1796.38,6327.54,31.8,0,Yes
RT-0032,2024-09-15,West India,Mumbai Hub,Nagpur,20-ft Truck,500,313,62.6,83,58,1.43,5,3.11,10.72,1013.04,85.9,501.54,1600.48,5.11,4,Yes
RT-0033,2024-11-17,Central India,Bhopal Hub,Bhopal,20-ft Truck,500,493,98.6,131,54,2.43,8,6.53,24.76,2339.82,150.74,1184.34,3674.9,7.45,3,Yes
RT-0034,2024-10-22,North India,Delhi Hub,Delhi,20-ft Truck,500,386,77.2,112,31,3.61,12,8.37,18.44,1742.58,234.35,1175.09,3152.02,8.17,25,Yes
RT-0035,2024-06-30,Central India,Bhopal Hub,Raipur,32-ft Truck,800,546,68.2,73,38,1.92,7,5.03,9.38,886.41,112.65,683.32,1682.38,3.08,71,No
RT-0036,2024-01-15,South India,Bengaluru Hub,Chennai,Mini Truck (14-ft),250,209,83.6,24,50,0.48,7,5.34,4.01,378.94,24.36,672.44,1075.74,5.15,33,No
RT-0037,2024-08-04,South India,Bengaluru Hub,Chennai,20-ft Truck,500,356,71.2,404,32,12.62,12,15.62,74.05,6997.72,569.72,2738.97,10306.41,28.95,35,No
RT-0038,2024-06-15,Central India,Bhopal Hub,Jabalpur,Tata Ace,120,87,72.5,182,50,3.64,3,4.8,30.47,2879.41,382.65,660.37,3922.43,45.09,7,Yes
RT-0039,2024-01-10,Central India,Bhopal Hub,Bhopal,20-ft Truck,500,382,76.4,333,43,7.74,5,10.1,49.12,4641.84,274.26,1812.91,6729.01,17.62,33,No
RT-0040,2024-02-24,East India,Kolkata Hub,Guwahati,Tata Ace,120,110,91.7,233,48,4.85,10,12.33,31.4,2967.3,360.78,2339.27,5667.35,51.52,23,Yes
RT-0041,2024-03-07,East India,Kolkata Hub,Guwahati,Tata Ace,120,62,51.7,317,45,7.04,9,12.63,49.89,4714.61,517.82,2219.37,7451.8,120.19,21,Yes
RT-0042,2024-08-08,West India,Mumbai Hub,Pune,20-ft Truck,500,234,46.8,25,35,0.71,7,3.22,3.26,308.07,54.77,389.68,752.52,3.22,15,Yes
RT-0043,2024-06-04,East India,Kolkata Hub,Bhubaneswar,Tata Ace,120,90,75.0,105,54,1.94,3,3.15,18.3,1729.35,145.54,537.22,2412.11,26.8,65,No
RT-0044,2024-03-06,East India,Kolkata Hub,Jamshedpur,Tempo,80,46,57.5,400,45,8.89,3,9.69,53.91,5094.49,359.11,1529.83,6983.43,151.81,40,No
RT-0045,2024-09-14,East India,Kolkata Hub,Ranchi,Mini Truck (14-ft),250,240,96.0,171,56,3.05,6,6.05,22.68,2143.26,246.79,798.12,3188.17,13.28,5,Yes
RT-0046,2024-07-23,South India,Bengaluru Hub,Mysuru,20-ft Truck,500,489,97.8,51,42,1.21,10,5.89,9.14,863.73,40.82,1048.38,1952.93,3.99,23,Yes
RT-0047,2024-03-16,Central India,Bhopal Hub,Bilaspur,32-ft Truck,800,576,72.0,60,55,1.09,9,3.82,11.95,1129.27,121.03,485.32,1735.62,3.01,12,Yes
RT-0048,2024-01-22,East India,Kolkata Hub,Siliguri,20-ft Truck,500,322,64.4,60,35,1.71,7,3.55,7.19,679.46,73.01,521.08,1273.55,3.96,28,Yes
RT-0049,2024-04-16,West India,Mumbai Hub,Nashik,Tempo,80,66,82.5,292,50,5.84,5,7.96,56.46,5335.47,366.5,1536.39,7238.36,109.67,63,No
RT-0050,2024-01-09,Central India,Bhopal Hub,Gwalior,20-ft Truck,500,468,93.6,98,50,1.96,10,5.34,13.86,1309.77,188.0,771.85,2269.62,4.85,0,Yes
RT-0051,2024-12-18,Central India,Bhopal Hub,Gwalior,20-ft Truck,500,290,58.0,238,30,7.93,3,9.48,26.98,2549.61,376.35,1770.11,4696.07,16.19,22,Yes
RT-0052,2024-07-19,North India,Delhi Hub,Meerut,Mini Truck (14-ft),250,120,48.0,356,49,7.27,8,10.06,63.23,5975.23,372.29,1281.62,7629.14,63.58,31,No
RT-0053,2024-05-14,West India,Mumbai Hub,Vadodara,Mini Truck (14-ft),250,209,83.6,205,65,3.15,12,11.15,31.49,2975.8,194.16,1519.77,4689.73,22.44,14,Yes
RT-0054,2024-07-27,North India,Delhi Hub,Delhi,20-ft Truck,500,385,77.0,318,43,7.4,11,10.83,41.53,3924.59,383.2,2108.16,6415.95,16.66,0,Yes
RT-0055,2024-07-15,South India,Bengaluru Hub,Chennai,Mini Truck (14-ft),250,145,58.0,162,29,5.59,10,10.63,26.78,2530.71,185.61,1720.9,4437.22,30.6,26,Yes
RT-0056,2024-01-20,North India,Delhi Hub,Agra,Tempo,80,37,46.2,266,42,6.33,9,11.51,38.0,3591.0,325.09,2098.96,6015.05,162.57,27,Yes
RT-0057,2024-04-20,South India,Bengaluru Hub,Kochi,Tata Ace,120,62,51.7,196,63,3.11,4,6.04,22.51,2127.2,254.29,1082.53,3464.02,55.87,21,Yes
RT-0058,2024-03-20,North India,Delhi Hub,Jaipur,20-ft Truck,500,493,98.6,405,57,7.11,9,12.22,80.8,7635.6,736.89,2059.94,10432.43,21.16,10,Yes
RT-0059,2024-09-12,West India,Mumbai Hub,Pune,Tata Ace,120,112,93.3,162,29,5.59,2,6.39,21.6,2041.2,285.3,1057.97,3384.47,30.22,46,No
RT-0060,2024-12-12,South India,Bengaluru Hub,Hyderabad,Mini Truck (14-ft),250,150,60.0,368,30,12.27,7,16.04,56.69,5357.2,727.88,2779.81,8864.89,59.1,0,Yes
RT-0061,2024-01-16,East India,Kolkata Hub,Bhubaneswar,Mini Truck (14-ft),250,234,93.6,55,52,1.06,8,5.94,9.1,859.95,90.66,940.62,1891.23,8.08,0,Yes
RT-0062,2024-07-24,East India,Kolkata Hub,Bhubaneswar,32-ft Truck,800,705,88.1,379,29,13.07,4,15.13,64.35,6081.07,438.93,2291.79,8811.79,12.5,0,Yes
RT-0063,2024-10-17,South India,Bengaluru Hub,Hyderabad,20-ft Truck,500,309,61.8,18,37,0.49,10,5.31,2.95,278.78,35.55,904.76,1219.09,3.95,10,Yes
RT-0064,2024-12-18,South India,Bengaluru Hub,Coimbatore,Mini Truck (14-ft),250,240,96.0,219,63,3.48,12,10.0,26.77,2529.76,318.41,1600.11,4448.28,18.53,0,Yes
RT-0065,2024-12-30,West India,Mumbai Hub,Ahmedabad,Tata Ace,120,94,78.3,183,41,4.46,3,5.34,20.57,1943.87,340.82,980.31,3265.0,34.73,0,Yes
RT-0066,2024-06-22,West India,Mumbai Hub,Pune,20-ft Truck,500,319,63.8,45,31,1.45,3,3.15,6.9,652.05,81.93,443.98,1177.96,3.69,55,No
RT-0067,2024-10-18,Central India,Bhopal Hub,Bhopal,Tempo,80,77,96.2,299,55,5.44,11,12.99,44.37,4192.97,355.16,2557.27,7105.4,92.28,2,Yes
RT-0068,2024-08-16,East India,Kolkata Hub,Siliguri,Tata Ace,120,115,95.8,242,57,4.25,4,6.16,34.21,3232.85,395.85,887.01,4515.71,39.27,2,Yes
RT-0069,2024-04-10,Central India,Bhopal Hub,Jabalpur,Tata Ace,120,115,95.8,32,57,0.56,5,2.11,4.6,434.7,42.67,403.21,880.58,7.66,8,Yes
RT-0070,2024-05-09,South India,Bengaluru Hub,Vizag,32-ft Truck,800,640,80.0,234,62,3.77,2,4.38,31.82,3006.99,249.05,860.12,4116.16,6.43,20,Yes
RT-0071,2024-05-15,North India,Delhi Hub,Chandigarh,Mini Truck (14-ft),250,127,50.8,37,40,0.93,2,1.62,4.22,398.79,81.1,222.05,701.94,5.53,12,Yes
RT-0072,2024-04-19,West India,Mumbai Hub,Ahmedabad,Tata Ace,120,98,81.7,187,43,4.35,6,5.9,27.47,2595.91,193.43,1158.79,3948.13,40.29,0,Yes
RT-0073,2024-05-10,West India,Mumbai Hub,Vadodara,20-ft Truck,500,413,82.6,189,39,4.85,12,10.67,24.82,2345.49,359.5,1690.21,4395.2,10.64,0,Yes
RT-0074,2024-07-06,Central India,Bhopal Hub,Gwalior,32-ft Truck,800,415,51.9,29,55,0.53,7,4.69,3.33,314.69,23.34,702.63,1040.66,2.51,13,Yes
RT-0075,2024-12-08,Central India,Bhopal Hub,Raipur,Mini Truck (14-ft),250,193,77.2,395,44,8.98,8,11.65,47.52,4490.64,683.93,2176.39,7350.96,38.09,21,Yes
RT-0076,2024-03-08,West India,Mumbai Hub,Mumbai,Tata Ace,120,79,65.8,72,50,1.44,8,6.89,8.08,763.56,144.11,856.41,1764.08,22.33,9,Yes
RT-0077,2024-12-09,Central India,Bhopal Hub,Raipur,Tata Ace,120,104,86.7,100,28,3.57,7,6.42,15.37,1452.46,149.67,1177.85,2779.98,26.73,31,No
RT-0078,2024-05-06,North India,Delhi Hub,Meerut,32-ft Truck,800,376,47.0,171,50,3.42,9,6.32,30.82,2912.49,292.63,1050.79,4255.91,11.32,46,No
RT-0079,2024-07-03,East India,Kolkata Hub,Bhubaneswar,32-ft Truck,800,489,61.1,235,35,6.71,11,9.92,32.46,3067.47,188.33,1659.97,4915.77,10.05,22,Yes
RT-0080,2024-04-26,South India,Bengaluru Hub,Mysuru,Tata Ace,120,83,69.2,124,55,2.25,10,7.02,18.6,1757.7,249.16,952.8,2959.66,35.66,39,No
RT-0081,2024-08-11,East India,Kolkata Hub,Ranchi,32-ft Truck,800,471,58.9,189,57,3.32,5,4.82,24.19,2285.95,161.28,590.47,3037.7,6.45,27,Yes
RT-0082,2024-07-09,North India,Delhi Hub,Delhi,32-ft Truck,800,368,46.0,142,33,4.3,3,5.16,26.71,2524.1,257.38,999.2,3780.68,10.27,59,No
RT-0083,2024-06-06,East India,Kolkata Hub,Bhubaneswar,20-ft Truck,500,249,49.8,234,39,6.0,9,9.13,34.15,3227.17,489.69,1354.51,5071.37,20.37,0,Yes
RT-0084,2024-10-10,Central India,Bhopal Hub,Bhopal,Mini Truck (14-ft),250,163,65.2,37,60,0.62,10,4.7,4.86,459.27,61.31,605.63,1126.21,6.91,0,Yes
RT-0085,2024-05-15,West India,Mumbai Hub,Nashik,20-ft Truck,500,242,48.4,98,58,1.69,3,3.63,17.1,1615.95,96.29,617.46,2329.7,9.63,30,No
RT-0086,2024-10-22,North India,Delhi Hub,Agra,20-ft Truck,500,489,97.8,408,62,6.58,2,7.76,60.33,5701.18,673.84,1315.74,7690.76,15.73,0,Yes
RT-0087,2024-11-24,East India,Kolkata Hub,Ranchi,20-ft Truck,500,462,92.4,290,50,5.8,9,11.43,35.49,3353.81,478.8,1471.01,5303.62,11.48,45,No
RT-0088,2024-04-05,North India,Delhi Hub,Lucknow,Mini Truck (14-ft),250,247,98.8,79,61,1.3,11,6.36,10.34,977.13,151.57,906.7,2035.4,8.24,49,No
RT-0089,2024-03-27,East India,Kolkata Hub,Ranchi,32-ft Truck,800,667,83.4,116,60,1.93,6,4.51,13.19,1246.45,195.14,715.23,2156.82,3.23,0,Yes
RT-0090,2024-12-23,East India,Kolkata Hub,Patna,Mini Truck (14-ft),250,165,66.0,357,45,7.93,6,10.1,50.79,4799.65,336.39,1863.62,6999.66,42.42,0,Yes
RT-0091,2024-07-12,Central India,Bhopal Hub,Indore,Mini Truck (14-ft),250,177,70.8,250,39,6.41,5,9.97,40.21,3799.85,210.23,1562.72,5572.8,31.48,35,No
RT-0092,2024-01-13,South India,Bengaluru Hub,Mysuru,Mini Truck (14-ft),250,135,54.0,86,52,1.65,10,8.38,11.59,1095.25,133.47,1136.13,2364.85,17.52,14,Yes
RT-0093,2024-10-27,Central India,Bhopal Hub,Bhopal,Mini Truck (14-ft),250,223,89.2,171,60,2.85,8,7.96,20.1,1899.45,314.42,1588.52,3802.39,17.05,0,Yes
RT-0094,2024-10-15,Central India,Bhopal Hub,Raipur,20-ft Truck,500,390,78.0,67,29,2.31,12,11.02,8.21,775.85,123.63,1945.04,2844.52,7.29,0,Yes
RT-0095,2024-04-15,South India,Bengaluru Hub,Vizag,20-ft Truck,500,469,93.8,419,30,13.97,6,16.13,50.63,4784.53,606.35,2265.1,7655.98,16.32,17,Yes
RT-0096,2024-02-12,Central India,Bhopal Hub,Bhopal,32-ft Truck,800,454,56.8,287,55,5.22,11,8.78,39.44,3727.08,587.98,1622.32,5937.38,13.08,5,Yes
RT-0097,2024-06-18,North India,Delhi Hub,Agra,20-ft Truck,500,474,94.8,88,42,2.1,10,9.24,16.68,1576.26,100.83,1324.91,3002.0,6.33,22,Yes
RT-0098,2024-07-10,Central India,Bhopal Hub,Jabalpur,Tata Ace,120,95,79.2,389,38,10.24,9,13.1,65.68,6206.76,533.42,2077.05,8817.23,92.81,42,No
RT-0099,2024-02-17,West India,Mumbai Hub,Ahmedabad,32-ft Truck,800,623,77.9,38,41,0.93,9,5.52,5.32,502.74,53.93,1049.68,1606.35,2.58,0,Yes
RT-0100,2024-11-28,West India,Mumbai Hub,Nagpur,Tata Ace,120,106,88.3,260,29,8.97,5,10.78,43.39,4100.36,443.91,1441.42,5985.69,56.47,4,Yes
RT-0101,2024-03-09,South India,Bengaluru Hub,Hyderabad,20-ft Truck,500,407,81.4,371,32,11.59,11,18.56,49.25,4654.12,313.38,2521.08,7488.58,18.4,0,Yes
RT-0102,2024-12-12,North India,Delhi Hub,Chandigarh,Mini Truck (14-ft),250,161,64.4,153,51,3.0,3,4.12,24.75,2338.88,201.51,754.1,3294.49,20.46,0,Yes
RT-0103,2024-01-24,South India,Bengaluru Hub,Bengaluru,32-ft Truck,800,658,82.2,277,30,9.23,10,16.27,34.74,3282.93,415.86,2329.89,6028.68,9.16,56,No
RT-0104,2024-10-29,West India,Mumbai Hub,Pune,32-ft Truck,800,507,63.4,339,52,6.52,7,8.4,44.1,4167.45,542.54,1390.57,6100.56,12.03,22,Yes
RT-0105,2024-12-30,West India,Mumbai Hub,Mumbai,20-ft Truck,500,269,53.8,270,61,4.43,4,5.86,34.34,3245.13,395.61,758.18,4398.92,16.35,0,Yes
RT-0106,2024-03-10,Central India,Bhopal Hub,Ujjain,Tempo,80,45,56.2,44,61,0.72,4,2.5,5.33,503.69,50.85,483.42,1037.96,23.07,11,Yes
RT-0107,2024-01-27,South India,Bengaluru Hub,Bengaluru,20-ft Truck,500,402,80.4,255,40,6.38,8,10.15,30.22,2855.79,314.86,1637.13,4807.78,11.96,59,No
RT-0108,2024-08-10,East India,Kolkata Hub,Bhubaneswar,Mini Truck (14-ft),250,144,57.6,178,28,6.36,2,7.65,32.18,3041.01,270.19,1127.22,4438.42,30.82,0,Yes
RT-0109,2024-07-24,West India,Mumbai Hub,Nashik,Tata Ace,120,101,84.2,132,32,4.12,7,7.89,23.34,2205.63,272.2,1427.99,3905.82,38.67,23,Yes
RT-0110,2024-08-11,North India,Delhi Hub,Chandigarh,Mini Truck (14-ft),250,186,74.4,146,37,3.95,3,5.07,27.99,2645.05,136.65,642.54,3424.24,18.41,0,Yes
RT-0111,2024-08-08,Central India,Bhopal Hub,Bhopal,20-ft Truck,500,275,55.0,251,42,5.98,4,8.47,30.34,2867.13,327.76,1085.75,4280.64,15.57,31,No
RT-0112,2024-09-05,North India,Delhi Hub,Lucknow,Tata Ace,120,116,96.7,369,39,9.46,7,13.46,51.47,4863.91,434.37,2691.36,7989.64,68.88,8,Yes
RT-0113,2024-08-16,North India,Delhi Hub,Amritsar,32-ft Truck,800,670,83.8,35,32,1.09,5,3.2,5.15,486.68,38.63,534.98,1060.29,1.58,11,Yes
RT-0114,2024-05-02,South India,Bengaluru Hub,Chennai,Mini Truck (14-ft),250,198,79.2,173,56,3.09,3,3.84,23.52,2222.64,220.57,538.7,2981.91,15.06,0,Yes
RT-0115,2024-03-29,East India,Kolkata Hub,Patna,Mini Truck (14-ft),250,145,58.0,312,31,10.06,3,11.3,35.85,3387.83,397.8,2120.0,5905.63,40.73,28,Yes
RT-0116,2024-08-03,South India,Bengaluru Hub,Bengaluru,Mini Truck (14-ft),250,112,44.8,181,29,6.24,8,10.03,23.08,2181.06,193.61,1383.05,3757.72,33.55,47,No
RT-0117,2024-12-05,South India,Bengaluru Hub,Coimbatore,Tata Ace,120,89,74.2,356,42,8.48,3,9.73,68.26,6450.57,651.14,1226.16,8327.87,93.57,8,Yes
RT-0118,2024-08-17,West India,Mumbai Hub,Pune,20-ft Truck,500,269,53.8,319,43,7.42,7,10.72,43.56,4116.42,311.12,1631.51,6059.05,22.52,4,Yes
RT-0119,2024-10-13,East India,Kolkata Hub,Guwahati,Mini Truck (14-ft),250,178,71.2,193,59,3.27,11,9.37,32.82,3101.49,285.95,1604.45,4991.89,28.04,23,Yes
RT-0120,2024-02-19,West India,Mumbai Hub,Vadodara,Mini Truck (14-ft),250,179,71.6,240,61,3.93,6,6.33,38.59,3646.76,260.25,847.83,4754.84,26.56,25,Yes
RT-0121,2024-10-31,East India,Kolkata Hub,Kolkata,20-ft Truck,500,444,88.8,359,65,5.52,5,8.68,42.38,4004.91,716.63,1320.0,6041.54,13.61,0,Yes
RT-0122,2024-09-08,West India,Mumbai Hub,Pune,32-ft Truck,800,647,80.9,267,65,4.11,10,10.03,35.95,3397.28,226.49,1250.6,4874.37,7.53,58,No
RT-0123,2024-04-08,Central India,Bhopal Hub,Indore,Mini Truck (14-ft),250,173,69.2,366,44,8.32,7,12.11,55.68,5261.76,342.8,1899.47,7504.03,43.38,24,Yes
RT-0124,2024-06-22,North India,Delhi Hub,Lucknow,Mini Truck (14-ft),250,241,96.4,125,50,2.5,4,4.09,15.04,1421.28,233.86,499.24,2154.38,8.94,0,Yes
RT-0125,2024-02-14,East India,Kolkata Hub,Kolkata,32-ft Truck,800,631,78.9,201,46,4.37,8,10.02,23.49,2219.8,336.77,1462.29,4018.86,6.37,0,Yes
RT-0126,2024-08-09,Central India,Bhopal Hub,Jabalpur,Mini Truck (14-ft),250,197,78.8,330,28,11.79,9,17.85,38.78,3664.71,648.2,2340.09,6653.0,33.77,46,No
RT-0127,2024-03-02,West India,Mumbai Hub,Ahmedabad,32-ft Truck,800,454,56.8,261,58,4.5,8,7.78,35.09,3316.01,548.18,1205.3,5069.49,11.17,0,Yes
RT-0128,2024-01-01,Central India,Bhopal Hub,Ujjain,Tempo,80,67,83.8,165,38,4.34,9,9.01,30.17,2851.07,269.82,1304.06,4424.95,66.04,1,Yes
RT-0129,2024-04-19,North India,Delhi Hub,Amritsar,32-ft Truck,800,577,72.1,207,47,4.4,11,8.95,31.67,2992.82,321.4,1178.05,4492.27,7.79,18,Yes
RT-0130,2024-02-03,South India,Bengaluru Hub,Coimbatore,32-ft Truck,800,607,75.9,15,44,0.34,2,1.84,2.89,273.11,15.67,279.5,568.28,0.94,0,Yes
RT-0131,2024-12-08,East India,Kolkata Hub,Bhubaneswar,Mini Truck (14-ft),250,169,67.6,343,50,6.86,12,12.93,56.12,5303.34,556.42,2085.02,7944.78,47.01,9,Yes
RT-0132,2024-05-17,South India,Bengaluru Hub,Hyderabad,Mini Truck (14-ft),250,113,45.2,243,58,4.19,11,10.67,42.44,4010.58,227.44,1326.4,5564.42,49.24,3,Yes
RT-0133,2024-07-18,South India,Bengaluru Hub,Coimbatore,32-ft Truck,800,757,94.6,415,57,7.28,8,10.04,51.92,4906.44,825.85,1226.61,6958.9,9.19,1,Yes
RT-0134,2024-03-19,North India,Delhi Hub,Delhi,Tempo,80,74,92.5,297,35,8.49,10,14.1,39.37,3720.46,483.6,2737.4,6941.46,93.8,42,No
RT-0135,2024-09-05,East India,Kolkata Hub,Patna,20-ft Truck,500,416,83.2,51,34,1.5,4,3.88,7.84,740.88,60.34,527.46,1328.68,3.19,0,Yes
RT-0136,2024-07-21,Central India,Bhopal Hub,Bhopal,32-ft Truck,800,439,54.9,227,47,4.83,7,6.67,31.38,2965.41,472.74,1086.44,4524.59,10.31,0,Yes
RT-0137,2024-12-12,West India,Mumbai Hub,Pune,32-ft Truck,800,510,63.7,237,61,3.89,8,7.96,30.59,2890.76,270.47,1211.06,4372.29,8.57,32,No
RT-0138,2024-01-21,South India,Bengaluru Hub,Mysuru,20-ft Truck,500,470,94.0,274,54,5.07,2,6.07,38.6,3647.7,337.05,1069.53,5054.28,10.75,12,Yes
RT-0139,2024-04-03,North India,Delhi Hub,Meerut,32-ft Truck,800,619,77.4,177,28,6.32,7,11.25,22.36,2113.02,203.62,1520.81,3837.45,6.2,21,Yes
RT-0140,2024-12-18,West India,Mumbai Hub,Mumbai,Tempo,80,48,60.0,263,50,5.26,5,8.12,40.71,3847.1,363.94,1510.93,5721.97,119.21,54,No
RT-0141,2024-11-25,South India,Bengaluru Hub,Vizag,Tata Ace,120,56,46.7,367,46,7.98,9,13.27,46.29,4374.4,749.57,1863.94,6987.91,124.78,0,Yes
RT-0142,2024-10-01,North India,Delhi Hub,Amritsar,Tata Ace,120,84,70.0,218,43,5.07,3,6.51,37.59,3552.26,316.26,838.66,4707.18,56.04,0,Yes
RT-0143,2024-04-28,West India,Mumbai Hub,Mumbai,Tata Ace,120,80,66.7,304,51,5.96,7,9.3,56.84,5371.38,316.18,1356.72,7044.28,88.05,11,Yes
RT-0144,2024-11-02,West India,Mumbai Hub,Vadodara,20-ft Truck,500,439,87.8,211,35,6.03,6,10.06,39.99,3779.06,190.55,1798.09,5767.7,13.14,0,Yes
