Cold_Chain_ID,Date,Region,Warehouse,SKU,Supply_Chain_Stage,Target_Temp_C,Avg_Temp_C,Min_Temp_C,Max_Temp_C,Temperature_Breach,Breach_Duration_Min,Humidity_Pct,Transport_Hours,Product_Status,Cost_Impact_INR
CC-0017,2024-06-02,West India,WH-BLR-01,Stout_650ml,Brewery,2,2.4,0.1,4.1,No,0,72.6,11.7,Compliant,0
CC-0018,2024-09-27,West India,WH-BLR-01,Lager_500ml,Distributor,2,3.4,2.2,5.0,No,0,67.3,7.0,Compliant,0
CC-0019,2024-12-24,East India,WH-HYD-01,Wheat_330ml,Retail Outlet,4,3.5,1.7,6.8,Yes,104,82.1,16.5,Compliant,19619
CC-0020,2024-11-21,South India,WH-BLR-01,Stout_650ml,Regional Hub,6,7.6,6.2,10.8,Yes,161,72.1,17.6,Disposed,14987
CC-0021,2024-12-22,West India,WH-BLR-01,Stout_650ml,Primary Warehouse,6,7.4,5.3,10.2,Yes,163,59.4,5.1,Compliant,12576
CC-0022,2024-09-08,North India,WH-BLR-01,Light_Beer_330ml,Brewery,4,5.1,3.1,7.6,No,0,64.2,13.8,Compliant,0
CC-0023,2024-08-27,West India,WH-KOL-01,Stout_650ml,Distributor,8,9.0,8.2,12.3,Yes,116,68.1,5.2,Disposed,15108
CC-0024,2024-11-08,South India,WH-BLR-01,Stout_650ml,Regional Hub,8,6.5,6.0,9.8,No,0,60.7,13.2,Compliant,0
CC-0025,2024-12-08,West India,WH-BLR-01,Lager_500ml,Regional Hub,2,4.2,2.1,7.1,Yes,86,68.3,14.9,Quarantined,15186
CC-0026,2024-11-14,South India,WH-HYD-01,Strong_Beer_500ml,Primary Warehouse,2,4.0,1.8,6.8,Yes,103,65.5,14.6,Quarantined,16261
CC-0027,2024-04-10,West India,WH-HYD-01,Wheat_330ml,Retail Outlet,2,0.6,-1.7,3.1,Yes,34,82.4,7.5,Quarantined,2635
CC-0028,2024-10-07,West India,WH-DEL-01,Stout_650ml,Retail Outlet,4,3.0,1.8,6.2,Yes,17,73.0,14.9,Compliant,2236
CC-0029,2024-02-28,West India,WH-HYD-01,Strong_Beer_500ml,Primary Warehouse,4,1.8,-0.5,4.2,Yes,147,78.3,8.5,Quarantined,13169
CC-0030,2024-06-10,East India,WH-HYD-01,Stout_650ml,Regional Hub,2,4.4,3.1,4.9,No,0,57.8,12.1,Compliant,0
CC-0031,2024-02-22,South India,WH-DEL-01,Stout_650ml,Primary Warehouse,2,1.7,-0.8,4.1,Yes,96,75.2,15.3,Quarantined,15379
CC-0032,2024-12-27,North India,WH-BLR-01,Wheat_330ml,Primary Warehouse,6,7.3,5.0,7.9,No,0,69.4,11.1,Compliant,0
CC-0033,2024-08-15,South India,WH-BLR-01,IPA_330ml,Retail Outlet,2,1.0,-0.6,4.1,Yes,30,70.0,9.9,Compliant,4651
CC-0034,2024-06-19,North India,WH-BLR-01,Light_Beer_330ml,Brewery,6,5.9,5.1,8.7,No,0,64.9,5.6,Compliant,0
CC-0035,2024-09-24,North India,WH-MUM-01,Premium_Lager_330ml,Distributor,8,8.9,7.1,12.1,Yes,110,71.2,5.4,Compliant,9762
CC-0036,2024-03-23,South India,WH-HYD-01,IPA_330ml,Brewery,2,-0.3,-1.7,2.0,Yes,62,60.0,5.2,Disposed,4103
CC-0037,2024-11-22,South India,WH-HYD-01,Premium_Lager_330ml,Brewery,4,3.0,2.1,4.5,No,0,71.4,7.0,Compliant,0
CC-0038,2024-02-11,East India,WH-MUM-01,Light_Beer_330ml,Regional Hub,6,6.4,5.1,9.2,No,0,77.8,12.6,Compliant,0
CC-0039,2024-11-03,East India,WH-MUM-01,Stout_650ml,Retail Outlet,2,2.1,1.1,4.3,No,0,78.1,11.5,Compliant,0
CC-0040,2024-09-08,Central India,WH-BLR-01,Wheat_330ml,Retail Outlet,4,5.5,4.3,7.5,No,0,72.6,17.3,Compliant,0
CC-0041,2024-08-14,North India,WH-BLR-01,Lager_500ml,Brewery,8,7.6,6.5,8.8,No,0,74.5,11.9,Compliant,0
CC-0042,2024-09-17,West India,WH-BLR-01,Strong_Beer_500ml,Brewery,2,1.7,-0.5,4.9,Yes,170,55.6,1.1,Quarantined,28823
CC-0043,2024-02-22,Central India,WH-DEL-01,Premium_Lager_330ml,Distributor,8,11.0,10.4,13.6,Yes,19,78.0,3.1,Compliant,2777
CC-0044,2024-11-22,Central India,WH-DEL-01,Premium_Lager_330ml,Brewery,2,1.9,-0.2,2.7,Yes,110,72.2,9.6,Compliant,17602
CC-0045,2024-02-19,Central India,WH-KOL-01,Stout_650ml,Primary Warehouse,8,12.1,10.6,13.0,Yes,134,58.7,14.8,Disposed,18859
CC-0046,2024-02-26,East India,WH-HYD-01,Stout_650ml,Regional Hub,8,8.6,7.5,10.0,No,0,80.5,2.1,Compliant,0
CC-0047,2024-02-16,Central India,WH-DEL-01,IPA_330ml,Primary Warehouse,6,3.9,1.8,4.7,Yes,38,69.5,12.4,Disposed,7506
CC-0048,2024-11-20,South India,WH-BLR-01,IPA_330ml,Distributor,2,2.7,2.0,4.4,No,0,66.4,2.5,Compliant,0
CC-0049,2024-10-13,Central India,WH-DEL-01,Light_Beer_330ml,Brewery,6,9.5,7.2,11.5,Yes,124,55.8,13.8,Compliant,11663
CC-0050,2024-01-17,East India,WH-KOL-01,Premium_Lager_330ml,Distributor,2,2.9,1.0,5.4,No,0,82.6,2.0,Compliant,0
CC-0051,2024-07-01,East India,WH-DEL-01,Stout_650ml,Retail Outlet,4,7.0,5.6,7.9,No,0,82.9,1.1,Compliant,0
CC-0052,2024-10-24,East India,WH-MUM-01,Light_Beer_330ml,Retail Outlet,2,1.3,0.2,2.7,No,0,63.3,14.8,Compliant,0
CC-0053,2024-03-09,North India,WH-HYD-01,Light_Beer_330ml,Regional Hub,2,1.5,0.8,3.6,No,0,63.3,17.3,Compliant,0
CC-0054,2024-07-26,East India,WH-KOL-01,Light_Beer_330ml,Distributor,8,9.6,8.4,12.2,Yes,148,83.2,8.9,Compliant,20911
CC-0055,2024-05-23,East India,WH-BLR-01,Light_Beer_330ml,Retail Outlet,8,10.8,8.8,12.4,Yes,91,80.5,14.5,Quarantined,9999
CC-0056,2024-08-02,North India,WH-MUM-01,Light_Beer_330ml,Distributor,8,7.3,6.3,9.4,No,0,66.0,3.0,Compliant,0
CC-0057,2024-01-23,West India,WH-MUM-01,Lager_500ml,Primary Warehouse,8,11.0,9.6,13.0,Yes,136,73.6,16.2,Disposed,20610
CC-0058,2024-06-29,South India,WH-BLR-01,Lager_500ml,Distributor,4,5.2,3.0,7.2,No,0,61.9,11.2,Compliant,0
CC-0059,2024-09-24,North India,WH-HYD-01,IPA_330ml,Brewery,2,3.6,1.9,6.1,Yes,25,82.1,3.7,Compliant,2539
CC-0060,2024-12-03,South India,WH-HYD-01,Light_Beer_330ml,Primary Warehouse,8,8.5,7.7,9.7,No,0,64.7,2.1,Compliant,0
CC-0061,2024-07-11,East India,WH-KOL-01,Strong_Beer_500ml,Primary Warehouse,4,4.7,3.5,7.3,No,0,61.1,10.7,Compliant,0
CC-0062,2024-10-18,East India,WH-BLR-01,Premium_Lager_330ml,Primary Warehouse,2,2.7,0.8,3.7,No,0,58.3,17.3,Compliant,0
CC-0063,2024-04-12,East India,WH-KOL-01,Stout_650ml,Distributor,4,4.2,2.9,5.2,No,0,68.3,5.4,Compliant,0
CC-0064,2024-12-04,South India,WH-KOL-01,Premium_Lager_330ml,Regional Hub,4,4.8,4.0,6.5,No,0,65.2,6.5,Compliant,0
CC-0065,2024-04-26,West India,WH-KOL-01,Stout_650ml,Retail Outlet,8,6.1,4.6,7.6,Yes,113,77.9,1.8,Disposed,12478
CC-0066,2024-07-12,West India,WH-HYD-01,Stout_650ml,Regional Hub,4,1.3,0.0,4.5,Yes,84,73.1,2.3,Quarantined,15550
CC-0067,2024-07-20,South India,WH-KOL-01,Lager_500ml,Regional Hub,2,1.3,-0.2,4.6,Yes,88,57.1,15.2,Quarantined,16199
CC-0068,2024-01-31,West India,WH-KOL-01,Lager_500ml,Brewery,4,7.5,5.6,9.2,Yes,31,57.3,18.0,Disposed,3104
CC-0069,2024-03-06,Central India,WH-BLR-01,Strong_Beer_500ml,Regional Hub,2,4.3,2.1,6.4,Yes,86,57.0,11.4,Compliant,12898
CC-0070,2024-04-05,North India,WH-KOL-01,Strong_Beer_500ml,Distributor,8,6.0,5.3,7.2,Yes,97,61.4,3.4,Quarantined,11076
CC-0071,2024-11-05,West India,WH-MUM-01,Lager_500ml,Brewery,2,2.8,1.5,5.8,No,0,67.1,2.4,Compliant,0
CC-0072,2024-02-02,West India,WH-KOL-01,IPA_330ml,Brewery,2,-0.0,-2.4,2.7,Yes,116,58.5,2.4,Disposed,14164
CC-0073,2024-09-26,Central India,WH-BLR-01,Stout_650ml,Brewery,2,3.1,2.3,5.3,No,0,56.7,10.6,Compliant,0
CC-0074,2024-02-27,East India,WH-BLR-01,Premium_Lager_330ml,Primary Warehouse,4,6.7,4.3,7.4,No,0,57.9,16.4,Compliant,0
CC-0075,2024-03-23,East India,WH-BLR-01,Premium_Lager_330ml,Distributor,6,7.7,5.8,8.7,No,0,84.3,3.6,Compliant,0
CC-0076,2024-12-03,West India,WH-KOL-01,Premium_Lager_330ml,Brewery,2,3.4,1.7,6.7,Yes,17,65.2,6.2,Disposed,2481
CC-0077,2024-12-24,West India,WH-HYD-01,Strong_Beer_500ml,Primary Warehouse,4,5.2,3.4,8.0,No,0,78.6,8.2,Compliant,0
CC-0078,2024-08-27,South India,WH-HYD-01,Strong_Beer_500ml,Distributor,8,8.3,6.1,11.5,No,0,68.8,1.2,Compliant,0
CC-0079,2024-01-14,West India,WH-DEL-01,Strong_Beer_500ml,Primary Warehouse,4,1.8,0.6,4.7,Yes,129,55.8,10.7,Disposed,14491
CC-0080,2024-11-28,South India,WH-MUM-01,IPA_330ml,Brewery,4,5.5,3.0,8.6,Yes,145,62.4,14.5,Disposed,17391
CC-0081,2024-04-18,South India,WH-DEL-01,IPA_330ml,Distributor,6,8.4,6.2,9.1,No,0,76.8,6.9,Compliant,0
CC-0082,2024-01-27,North India,WH-KOL-01,IPA_330ml,Retail Outlet,8,7.9,5.7,10.6,Yes,92,83.7,4.8,Compliant,8956
CC-0083,2024-06-23,West India,WH-MUM-01,Strong_Beer_500ml,Regional Hub,8,7.8,7.1,10.2,No,0,67.3,5.0,Compliant,0
CC-0084,2024-09-16,North India,WH-DEL-01,Wheat_330ml,Regional Hub,4,2.2,1.5,3.0,Yes,174,60.5,17.3,Compliant,19677
CC-0085,2024-03-10,North India,WH-DEL-01,IPA_330ml,Regional Hub,8,5.8,4.9,8.5,Yes,57,73.6,10.3,Compliant,4968
CC-0086,2024-02-18,Central India,WH-DEL-01,Lager_500ml,Distributor,6,8.4,6.6,9.0,No,0,68.1,3.2,Compliant,0
CC-0087,2024-02-18,North India,WH-KOL-01,Strong_Beer_500ml,Distributor,6,5.9,5.0,8.6,No,0,66.9,17.3,Compliant,0
CC-0088,2024-04-26,North India,WH-KOL-01,Stout_650ml,Brewery,8,8.5,7.3,9.3,No,0,71.9,16.1,Compliant,0
CC-0089,2024-05-19,Central India,WH-BLR-01,IPA_330ml,Primary Warehouse,4,7.7,5.6,9.1,Yes,159,77.7,7.2,Quarantined,30141
CC-0090,2024-05-08,North India,WH-KOL-01,Lager_500ml,Distributor,6,8.6,6.9,9.5,No,0,55.2,15.0,Compliant,0
CC-0091,2024-02-21,South India,WH-DEL-01,Light_Beer_330ml,Retail Outlet,6,7.0,6.1,9.5,No,0,64.4,7.6,Compliant,0
CC-0092,2024-11-14,South India,WH-KOL-01,Light_Beer_330ml,Brewery,2,4.9,2.8,5.6,No,0,74.5,3.0,Compliant,0
CC-0093,2024-05-09,North India,WH-HYD-01,Lager_500ml,Distributor,4,3.3,1.4,6.1,Yes,77,61.0,16.4,Disposed,5536
CC-0094,2024-04-04,East India,WH-BLR-01,Strong_Beer_500ml,Primary Warehouse,4,7.2,5.1,9.9,Yes,65,84.4,15.8,Quarantined,9822
CC-0095,2024-04-19,East India,WH-BLR-01,Strong_Beer_500ml,Primary Warehouse,8,9.1,7.3,11.5,No,0,75.2,13.2,Compliant,0
CC-0096,2024-11-14,North India,WH-MUM-01,Premium_Lager_330ml,Distributor,4,3.2,1.1,3.7,Yes,74,78.5,13.1,Compliant,5508
CC-0097,2024-02-01,Central India,WH-DEL-01,IPA_330ml,Primary Warehouse,8,12.5,11.6,15.9,Yes,94,83.4,15.3,Compliant,7192
CC-0098,2024-07-30,South India,WH-DEL-01,Stout_650ml,Brewery,4,5.4,4.8,8.6,Yes,23,62.5,7.0,Disposed,4261
CC-0099,2024-01-14,West India,WH-MUM-01,Stout_650ml,Distributor,6,6.2,4.6,7.7,No,0,66.1,11.1,Compliant,0
CC-0100,2024-03-11,West India,WH-BLR-01,IPA_330ml,Regional Hub,8,8.8,7.0,11.0,No,0,61.2,3.2,Compliant,0
CC-0101,2024-08-04,East India,WH-KOL-01,Stout_650ml,Brewery,2,-0.1,-1.1,3.3,Yes,158,67.2,12.5,Disposed,15921
CC-0102,2024-10-22,West India,WH-MUM-01,Wheat_330ml,Distributor,2,5.2,3.3,7.7,Yes,121,79.3,17.0,Compliant,17899
CC-0103,2024-10-22,Central India,WH-BLR-01,Stout_650ml,Distributor,8,8.6,7.5,11.2,No,0,62.9,8.5,Compliant,0
CC-0104,2024-05-11,North India,WH-KOL-01,Lager_500ml,Retail Outlet,6,11.3,9.2,12.2,Yes,17,82.8,13.5,Quarantined,2969
CC-0105,2024-01-09,West India,WH-DEL-01,Wheat_330ml,Retail Outlet,6,9.6,7.5,12.8,Yes,163,61.1,1.9,Quarantined,28130
CC-0106,2024-02-19,Central India,WH-MUM-01,Wheat_330ml,Primary Warehouse,8,12.8,11.7,16.2,Yes,116,79.2,2.8,Disposed,10234
CC-0107,2024-04-19,East India,WH-KOL-01,IPA_330ml,Distributor,2,2.8,0.3,3.6,No,0,73.5,8.6,Compliant,0
CC-0108,2024-04-21,North India,WH-DEL-01,Strong_Beer_500ml,Primary Warehouse,4,3.8,2.6,6.8,No,0,66.5,17.0,Compliant,0
CC-0109,2024-08-31,North India,WH-BLR-01,IPA_330ml,Regional Hub,8,7.9,7.1,8.9,No,0,75.4,2.1,Compliant,0
CC-0110,2024-01-08,South India,WH-KOL-01,Premium_Lager_330ml,Primary Warehouse,8,9.7,8.9,12.7,Yes,109,59.6,14.6,Compliant,11897
CC-0111,2024-04-10,South India,WH-KOL-01,Stout_650ml,Brewery,2,2.5,1.2,5.4,No,0,59.4,12.2,Compliant,0
CC-0112,2024-01-25,West India,WH-BLR-01,IPA_330ml,Primary Warehouse,4,6.4,5.6,9.8,Yes,178,60.4,6.3,Disposed,10500
CC-0113,2024-01-03,South India,WH-BLR-01,Light_Beer_330ml,Retail Outlet,8,5.9,4.5,8.6,Yes,63,64.3,13.4,Disposed,3927
CC-0114,2024-03-03,South India,WH-BLR-01,Light_Beer_330ml,Regional Hub,6,7.2,5.2,7.9,No,0,57.3,12.9,Compliant,0
CC-0115,2024-07-16,Central India,WH-DEL-01,Strong_Beer_500ml,Retail Outlet,4,7.2,6.4,10.1,Yes,138,70.3,2.0,Disposed,26899
CC-0116,2024-09-16,North India,WH-DEL-01,Wheat_330ml,Primary Warehouse,8,10.6,8.7,13.8,Yes,95,69.3,3.3,Compliant,8979
CC-0117,2024-12-13,North India,WH-MUM-01,Wheat_330ml,Distributor,6,7.6,6.2,9.6,No,0,82.2,10.6,Compliant,0
CC-0118,2024-07-29,Central India,WH-HYD-01,Stout_650ml,Retail Outlet,2,0.9,-0.4,1.7,Yes,66,79.8,7.5,Disposed,11894
CC-0119,2024-10-12,North India,WH-HYD-01,IPA_330ml,Brewery,4,5.9,4.0,7.9,No,0,58.1,3.9,Compliant,0
CC-0120,2024-03-13,West India,WH-KOL-01,Premium_Lager_330ml,Regional Hub,4,4.1,2.1,4.7,No,0,82.1,9.6,Compliant,0
CC-0121,2024-03-28,South India,WH-KOL-01,Light_Beer_330ml,Regional Hub,6,6.7,6.1,8.3,No,0,55.3,2.3,Compliant,0
CC-0122,2024-05-15,West India,WH-KOL-01,Premium_Lager_330ml,Retail Outlet,2,4.1,2.4,4.6,No,0,65.7,14.5,Compliant,0
CC-0123,2024-02-15,West India,WH-KOL-01,Wheat_330ml,Regional Hub,2,2.8,1.4,4.1,No,0,59.0,9.2,Compliant,0
CC-0124,2024-04-20,Central India,WH-BLR-01,Premium_Lager_330ml,Retail Outlet,8,8.2,7.1,11.6,No,0,79.2,11.1,Compliant,0
CC-0125,2024-04-28,West India,WH-HYD-01,Light_Beer_330ml,Regional Hub,2,4.0,1.7,6.7,Yes,100,61.5,17.1,Compliant,18528
CC-0126,2024-07-19,North India,WH-BLR-01,Stout_650ml,Retail Outlet,8,6.3,5.4,8.6,Yes,137,75.1,4.4,Quarantined,11044
CC-0127,2024-11-06,Central India,WH-BLR-01,Wheat_330ml,Regional Hub,2,-0.4,-1.6,2.6,Yes,141,57.3,14.5,Disposed,19180
CC-0128,2024-06-23,West India,WH-HYD-01,IPA_330ml,Distributor,8,6.1,5.3,7.9,Yes,91,79.2,5.0,Disposed,17816
CC-0129,2024-07-24,North India,WH-KOL-01,Wheat_330ml,Retail Outlet,4,5.4,3.1,7.2,No,0,72.0,16.5,Compliant,0
CC-0130,2024-03-29,West India,WH-BLR-01,Strong_Beer_500ml,Distributor,4,5.9,4.5,7.6,No,0,55.1,4.3,Compliant,0
CC-0131,2024-11-01,East India,WH-KOL-01,Stout_650ml,Distributor,2,4.5,3.1,5.6,No,0,76.8,3.8,Compliant,0
CC-0132,2024-02-08,South India,WH-HYD-01,Strong_Beer_500ml,Retail Outlet,6,4.3,3.5,5.0,Yes,45,84.4,17.9,Disposed,5509
CC-0133,2024-04-15,South India,WH-BLR-01,Premium_Lager_330ml,Primary Warehouse,8,12.1,10.3,14.7,Yes,69,59.4,11.0,Disposed,6356
CC-0134,2024-06-22,West India,WH-MUM-01,Lager_500ml,Primary Warehouse,4,4.5,3.8,5.6,No,0,72.2,11.5,Compliant,0
CC-0135,2024-05-11,East India,WH-DEL-01,Light_Beer_330ml,Brewery,4,8.2,5.8,8.8,Yes,81,78.9,2.2,Compliant,14600
CC-0136,2024-10-07,East India,WH-HYD-01,IPA_330ml,Brewery,4,1.5,0.8,4.2,Yes,80,58.7,9.6,Compliant,4609
CC-0137,2024-09-20,North India,WH-BLR-01,Light_Beer_330ml,Brewery,8,8.3,7.5,9.4,No,0,77.1,4.2,Compliant,0
CC-0138,2024-01-26,North India,WH-KOL-01,Lager_500ml,Primary Warehouse,6,7.4,6.2,8.8,No,0,65.2,9.4,Compliant,0
CC-0139,2024-09-27,South India,WH-DEL-01,Light_Beer_330ml,Retail Outlet,6,7.2,4.9,10.0,No,0,66.5,6.0,Compliant,0
CC-0140,2024-08-16,South India,WH-HYD-01,Wheat_330ml,Retail Outlet,6,6.7,5.0,8.0,No,0,81.8,2.0,Compliant,0
CC-0141,2024-10-10,North India,WH-MUM-01,IPA_330ml,Distributor,6,8.9,7.1,11.4,Yes,116,58.9,11.2,Compliant,20493
CC-0142,2024-04-18,West India,WH-DEL-01,Premium_Lager_330ml,Retail Outlet,2,4.8,2.4,7.7,Yes,99,75.0,8.8,Quarantined,16405
CC-0143,2024-01-05,Central India,WH-KOL-01,Wheat_330ml,Distributor,4,4.3,2.0,7.8,No,0,76.2,13.1,Compliant,0
CC-0144,2024-06-19,South India,WH-DEL-01,Lager_500ml,Brewery,4,3.2,1.3,3.7,Yes,139,67.9,5.9,Compliant,16081
CC-0145,2024-10-28,South India,WH-MUM-01,Lager_500ml,Regional Hub,2,5.2,4.6,6.8,Yes,42,71.8,15.1,Disposed,3024
CC-0146,2024-03-02,North India,WH-MUM-01,Light_Beer_330ml,Regional Hub,4,4.4,2.3,7.3,No,0,76.7,3.8,Compliant,0
CC-0147,2024-09-01,South India,WH-DEL-01,Stout_650ml,Retail Outlet,2,0.1,-2.0,0.6,Yes,124,79.8,5.8,Quarantined,10099
CC-0148,2024-06-16,South India,WH-KOL-01,Strong_Beer_500ml,Brewery,2,2.9,2.2,3.8,No,0,72.6,2.1,Compliant,0
CC-0149,2024-11-26,South India,WH-HYD-01,Lager_500ml,Retail Outlet,4,6.6,4.6,7.4,No,0,57.9,14.9,Compliant,0
CC-0150,2024-08-31,Central India,WH-DEL-01,Lager_500ml,Regional Hub,2,1.6,0.3,2.3,No,0,79.2,1.9,Compliant,0
CC-0151,2024-03-31,West India,WH-HYD-01,Light_Beer_330ml,Distributor,8,12.0,10.7,12.6,Yes,15,60.8,1.2,Compliant,1324
CC-0152,2024-08-02,Central India,WH-HYD-01,Stout_650ml,Regional Hub,6,3.8,1.7,5.4,Yes,130,83.8,8.5,Compliant,25735
CC-0153,2024-01-22,East India,WH-HYD-01,Premium_Lager_330ml,Regional Hub,6,2.5,1.7,5.4,Yes,70,68.2,10.9,Quarantined,11473
CC-0154,2024-10-04,South India,WH-MUM-01,Light_Beer_330ml,Retail Outlet,8,12.4,11.2,13.1,Yes,85,71.6,12.7,Disposed,5109
CC-0155,2024-09-04,East India,WH-DEL-01,Light_Beer_330ml,Retail Outlet,2,4.3,3.7,5.8,No,0,79.9,14.2,Compliant,0
CC-0156,2024-11-10,East India,WH-HYD-01,Lager_500ml,Retail Outlet,8,8.0,6.8,10.3,No,0,65.2,14.6,Compliant,0
CC-0157,2024-09-07,North India,WH-BLR-01,Lager_500ml,Brewery,6,6.5,4.3,8.4,No,0,64.9,9.9,Compliant,0
CC-0158,2024-01-12,West India,WH-DEL-01,Light_Beer_330ml,Regional Hub,6,4.6,3.8,5.7,Yes,170,59.3,8.5,Compliant,11585
CC-0159,2024-05-12,North India,WH-DEL-01,Stout_650ml,Primary Warehouse,2,3.4,1.1,5.5,No,0,84.9,5.3,Compliant,0
CC-0160,2024-10-10,North India,WH-KOL-01,Wheat_330ml,Retail Outlet,4,7.2,4.9,9.5,Yes,133,74.3,13.5,Quarantined,6753
CC-0161,2024-09-27,North India,WH-BLR-01,Stout_650ml,Retail Outlet,8,9.4,7.8,10.9,No,0,83.0,3.9,Compliant,0
CC-0162,2024-04-20,East India,WH-DEL-01,Wheat_330ml,Primary Warehouse,6,8.4,6.5,9.3,No,0,72.4,10.3,Compliant,0
CC-0163,2024-10-13,East India,WH-BLR-01,IPA_330ml,Distributor,2,2.6,1.9,5.1,No,0,73.9,15.5,Compliant,0
CC-0164,2024-11-28,Central India,WH-BLR-01,Premium_Lager_330ml,Distributor,6,6.0,4.9,9.0,No,0,84.9,3.1,Compliant,0
CC-0165,2024-02-06,East India,WH-MUM-01,Strong_Beer_500ml,Primary Warehouse,4,5.6,4.4,6.5,No,0,60.7,12.7,Compliant,0
CC-0166,2024-03-26,East India,WH-HYD-01,Premium_Lager_330ml,Regional Hub,2,4.8,3.3,5.6,No,0,66.6,5.1,Compliant,0
CC-0167,2024-09-16,North India,WH-MUM-01,Stout_650ml,Primary Warehouse,4,5.2,4.4,7.6,No,0,68.1,6.9,Compliant,0
CC-0168,2024-07-11,East India,WH-KOL-01,Stout_650ml,Distributor,8,8.2,7.5,11.4,No,0,73.0,3.1,Compliant,0
CC-0169,2024-04-30,West India,WH-HYD-01,Lager_500ml,Regional Hub,8,6.1,5.2,9.5,Yes,62,66.9,14.6,Disposed,6700
CC-0170,2024-05-28,South India,WH-MUM-01,IPA_330ml,Distributor,6,6.3,5.7,8.4,No,0,65.1,7.8,Compliant,0
CC-0171,2024-06-26,Central India,WH-BLR-01,Light_Beer_330ml,Regional Hub,2,3.5,1.8,5.4,No,0,56.0,17.2,Compliant,0
CC-0172,2024-11-09,North India,WH-DEL-01,Light_Beer_330ml,Distributor,4,3.7,1.2,5.3,Yes,157,71.0,13.9,Disposed,14362
CC-0173,2024-08-02,Central India,WH-BLR-01,IPA_330ml,Primary Warehouse,8,8.0,6.0,9.8,No,0,59.8,9.4,Compliant,0
CC-0174,2024-03-19,South India,WH-BLR-01,Lager_500ml,Retail Outlet,2,1.1,-0.7,3.6,Yes,178,63.1,1.1,Disposed,12304
CC-0175,2024-09-29,West India,WH-HYD-01,Strong_Beer_500ml,Distributor,2,-0.3,-2.6,0.9,Yes,130,70.9,2.9,Quarantined,19041
CC-0176,2024-07-17,North India,WH-MUM-01,Stout_650ml,Distributor,6,8.6,7.7,10.0,No,0,74.9,5.7,Compliant,0
CC-0177,2024-10-07,East India,WH-DEL-01,Strong_Beer_500ml,Brewery,6,6.6,5.1,7.3,No,0,84.0,14.5,Compliant,0
CC-0178,2024-10-08,South India,WH-BLR-01,Lager_500ml,Brewery,6,7.4,6.5,8.1,No,0,68.1,10.7,Compliant,0
CC-0179,2024-06-30,South India,WH-MUM-01,Stout_650ml,Regional Hub,4,3.8,3.3,5.7,No,0,76.0,15.1,Compliant,0
CC-0180,2024-07-19,West India,WH-KOL-01,Lager_500ml,Retail Outlet,2,-0.1,-0.8,1.5,Yes,124,63.2,13.6,Compliant,24794
